timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1473953316267,95,Send 10-04-07,200,OK,10ДО - 04 контроль 7-1,text,true,,183,1,13,95,0
1473953316269,94,Send 12-01-01,200,OK,12ДО - 01 посылка 07 формирование 10-1,text,true,,183,1,13,94,0
1473953316266,100,Send 10-01-01,200,OK,10ДО - 01 контроль 02 формирование 6-1,text,true,,183,1,13,100,0
1473953316263,107,Send 01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,183,1,13,107,0
1473953316264,111,Send 01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,183,1,13,111,0
1473953316266,110,Send 01-11-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,13,109,0
1473953316263,118,Send 01-01-01,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,183,1,13,118,0
1473953316269,112,Send 12-02-08,200,OK,12ДО - 02 контроль 11-1,text,true,,183,1,13,112,0
1473953316270,121,Send 12-04-06,200,OK,12ДО - 04 контроль 05 формирование 12-1,text,true,,183,1,13,121,0
1473953316265,127,Send 01-07-08(07),200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,183,1,13,127,0
1473953316268,136,Send 10-05-06,200,OK,10ДО - 05 контроль 8-1,text,true,,183,1,13,135,0
1473953316376,32,Send 01-06-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,13,32,0
1473953316270,139,Send 12-06-08,200,OK,"12ДО - 08,06 контроль  13-1",text,true,,183,1,13,139,0
1473953316408,9,Send 01-09-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,13,9,0
1473953316409,24,Send 12-08-08,200,OK,"12ДО - 08,06 контроль  13-1",text,true,,183,1,13,24,0
1473953376363,5,JDBC CheckNewContaner_10-04-07,200,OK,10ДО - 04 контроль 7-1,text,true,,196,1,13,0,0
1473953376376,0,Debug Sampler,200,OK,10ДО - 04 контроль 7-1,text,true,,1011,1,13,0,0
1473953376363,39,CheckNewContaner_10-06-07,200,OK,10ДО - 06 контроль 9-1,text,false,Test failed: text expected to contain /FNS_([\S]+?)_10_06_07.zip/,461,1,12,38,0
1473953376364,45,CheckNewContaner_12-07-05,200,OK,12ДО - 01 посылка 07 формирование 10-1,text,true,,461,1,12,45,0
1473953376408,11,JDBC CheckNewContaner_10-05-06,200,OK,10ДО - 05 контроль 8-1,text,true,,196,1,12,0,0
1473953376379,37,CheckNewContaner_01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,false,Test failed: text expected to contain /FNS_([\S]+?)_01_04_06.zip/,461,1,12,37,0
1473953376419,0,Debug Sampler,200,OK,10ДО - 05 контроль 8-1,text,true,,1011,1,12,0,0
1473953376403,17,RecivingContaner-10-06-07,500,INTERNAL SERVER ERROR,10ДО - 06 контроль 9-1,text,false,,198,1,10,17,0
1473953376421,0,Debug Sampler,200,OK,10ДО - 06 контроль 9-1,text,true,,553,1,10,0,0
1473953376419,5,JDBC CheckNewContaner_01-08-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,518,1,9,0,0
1473953376382,42,CheckNewContaner_12-02-08,200,OK,12ДО - 02 контроль 11-1,text,false,Test failed: text expected to contain /FNS_([\S]+?)_12_02_08.zip/,461,1,9,42,0
1473953376367,62,CheckNewContaner_10-01-01,200,OK,10ДО - 01 контроль 02 формирование 6-1,text,true,,461,1,8,62,0
1473953376382,54,CheckNewContaner_01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,461,1,8,54,0
1473953376381,56,CheckNewContaner_01-02-09,200,OK,01ДО - 02 контроль 2-1,text,false,Test failed: text expected to contain /FNS_([\S]+?)_01_02_09.zip/,461,1,8,56,0
1473953376407,31,CheckNewContaner_12-04-06,200,OK,12ДО - 04 контроль 05 формирование 12-1,text,false,Test failed: text expected to contain /FNS_([\S]+?)_12_04_06.zip/,461,1,8,29,0
1473953376424,15,RecivingContaner_12-02-08,500,INTERNAL SERVER ERROR,12ДО - 02 контроль 11-1,text,false,,198,1,8,15,0
1473953376439,0,Debug Sampler,200,OK,12ДО - 02 контроль 11-1,text,true,,554,1,7,0,0
1473953376407,32,CheckNewContaner_01-07-08,200,OK,01ДО - 07 контроль 08 формирование 4-1,text,false,Test failed: text expected to contain /FNS_([\S]+?)_01_07_08.zip/,461,1,7,32,0
1473953376435,6,JDBC CheckNewContaner,200,OK,"12ДО - 08,06 контроль  13-1",text,true,,356,1,5,0,0
1473953376438,5,RecivingContaner-01-02-09,500,INTERNAL SERVER ERROR,01ДО - 02 контроль 2-1,text,false,,198,1,4,5,0
1473953376444,0,Debug Sampler,200,OK,01ДО - 02 контроль 2-1,text,true,,554,1,4,0,0
1473953376413,35,RecivingContaner_12-07-05,200,OK,12ДО - 01 посылка 07 формирование 10-1,text,true,,9202,1,3,35,0
1473953376450,0,Debug Sampler,200,OK,12ДО - 01 посылка 07 формирование 10-1,text,true,,863,1,3,0,0
1473953376436,31,RecivingContaner-01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,9278,1,2,28,0
1473953376468,0,Debug Sampler,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,864,1,2,0,0
1473953376430,45,RecivingContaner-10-01-01,200,OK,10ДО - 01 контроль 02 формирование 6-1,text,true,,73327,1,1,31,0
1473953376476,3,JDBC CheckNewContaner_10-02-04,200,OK,10ДО - 01 контроль 02 формирование 6-1,text,true,,124,1,1,0,0
1473953875420,120,Зачистка базы,200,OK,setUp Thread Group 1-1,text,true,,9,1,1,112,0
1473953875540,2,Контроль что база пустая,200,OK,setUp Thread Group 1-1,text,true,,8,1,1,0,0
1473953875599,51,Send 01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,183,1,13,51,0
1473953875605,57,Send 10-05-06,200,OK,10ДО - 05 контроль 8-1,text,true,,183,1,13,57,0
1473953875603,61,Send 01-11-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,13,61,0
1473953875608,59,Send 12-04-06,200,OK,12ДО - 04 контроль 05 формирование 12-1,text,true,,183,1,13,59,0
1473953875608,60,Send 12-02-08,200,OK,12ДО - 02 контроль 11-1,text,true,,183,1,13,60,0
1473953875600,71,Send 01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,183,1,13,70,0
1473953875604,68,Send 10-04-07,200,OK,10ДО - 04 контроль 7-1,text,true,,183,1,13,66,0
1473953875609,63,Send 10-06-07,200,OK,10ДО - 06 контроль 9-1,text,true,,183,1,13,61,0
1473953875606,66,Send 12-01-01,200,OK,12ДО - 01 посылка 07 формирование 10-1,text,true,,183,1,13,66,0
1473953875610,62,Send 12-06-08,200,OK,"12ДО - 08,06 контроль  13-1",text,true,,183,1,13,62,0
1473953875599,73,Send 01-01-01,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,183,1,13,73,0
1473953875603,69,Send 01-07-08(07),200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,183,1,13,69,0
1473953875602,84,Send 10-01-01,200,OK,10ДО - 01 контроль 02 формирование 6-1,text,true,,183,1,13,84,0
1473953875672,17,Send 12-08-08,200,OK,"12ДО - 08,06 контроль  13-1",text,true,,183,1,13,17,0
1473953875664,240,Send 01-06-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,13,240,0
1473953875905,9,Send 01-09-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,13,8,0
1473953995662,5,JDBC CheckNewContaner_10-05-06,200,OK,10ДО - 05 контроль 8-1,text,true,,196,1,13,0,0
1473953995670,0,Debug Sampler,200,OK,10ДО - 05 контроль 8-1,text,true,,1023,1,13,0,0
1473953995672,8,JDBC CheckNewContaner_10-04-07,200,OK,10ДО - 04 контроль 7-1,text,true,,196,1,12,2,0
1473953995680,1,Debug Sampler,200,OK,10ДО - 04 контроль 7-1,text,true,,1023,1,12,0,0
1473953995689,3,JDBC CheckNewContaner,200,OK,"12ДО - 08,06 контроль  13-1",text,true,,356,1,11,0,0
1473953995676,71,CheckNewContaner_01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,1031,1,10,70,0
1473953995650,109,CheckNewContaner_01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,1031,1,10,109,0
1473953995675,93,CheckNewContaner_01-07-08,200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,1031,1,10,92,0
1473953995673,98,CheckNewContaner_01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,1031,1,10,98,0
1473953995668,107,CheckNewContaner_12-02-08,200,OK,12ДО - 02 контроль 11-1,text,true,,1031,1,10,106,0
1473953995686,107,CheckNewContaner_10-01-01,200,OK,10ДО - 01 контроль 02 формирование 6-1,text,true,,1031,1,10,107,0
1473953995667,127,CheckNewContaner_12-04-06,200,OK,12ДО - 04 контроль 05 формирование 12-1,text,true,,1031,1,10,127,0
1473953995672,122,CheckNewContaner_12-07-05,200,OK,12ДО - 01 посылка 07 формирование 10-1,text,true,,1031,1,10,122,0
1473953995760,52,RecivingContaner-01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,7943,1,10,52,0
1473953995814,1,Debug Sampler,200,OK,01ДО - 02 контроль 2-1,text,true,,880,1,10,0,0
1473953995750,64,RecivingContaner-01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,9278,1,10,64,0
1473953995816,0,Debug Sampler,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,876,1,9,0,0
1473953995768,49,RecivingContaner-01-07-08,200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,6821,1,8,49,0
1473953995819,3,JDBC CheckNewContaner_01-08-09,200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,124,1,8,0,0
1473953995771,57,RecivingContaner-01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,10615,1,7,55,0
1473953995830,3,JDBC CheckNewContaner_01-05-09,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,124,1,7,0,0
1473953995793,47,RecivingContaner-10-01-01,200,OK,10ДО - 01 контроль 02 формирование 6-1,text,true,,73327,1,6,36,0
1473953995841,3,JDBC CheckNewContaner_10-02-04,200,OK,10ДО - 01 контроль 02 формирование 6-1,text,true,,124,1,6,0,0
1473953995776,62,RecivingContaner_12-02-08,200,OK,12ДО - 02 контроль 11-1,text,true,,7881,1,6,62,0
1473953995796,61,RecivingContaner_12-07-05,200,OK,12ДО - 01 посылка 07 формирование 10-1,text,true,,9203,1,5,60,0
1473953995794,48,RecivingContaner_12-04-06,200,OK,12ДО - 04 контроль 05 формирование 12-1,text,true,,6733,1,6,48,0
1473953995865,0,Debug Sampler,200,OK,12ДО - 01 посылка 07 формирование 10-1,text,true,,877,1,5,0,0
1473953995865,1,Debug Sampler,200,OK,12ДО - 02 контроль 11-1,text,true,,880,1,4,0,0
1473953995865,3,JDBC CheckNewContaner_12-05-08,200,OK,12ДО - 04 контроль 05 формирование 12-1,text,true,,124,1,3,0,0
1473953995914,2,JDBC CheckNewContaner_01-08-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,518,1,2,0,0
1473953995672,283,CheckNewContaner_10-06-07,200,OK,10ДО - 06 контроль 9-1,text,true,,1031,1,1,283,0
1473953995955,17,RecivingContaner-10-06-07,200,OK,10ДО - 06 контроль 9-1,text,true,,7582,1,1,17,0
1473953995972,0,Debug Sampler,200,OK,10ДО - 06 контроль 9-1,text,true,,880,1,1,0,0
1474011350451,1261,Зачистка базы,200,OK,setUp Thread Group 1-1,text,true,,9,1,1,1242,0
1474011351718,7,Контроль что база пустая,200,OK,setUp Thread Group 1-1,text,true,,8,1,1,0,0
1474011351851,280,Send 10-04-07,200,OK,10ДО - 04 контроль 7-1,text,true,,183,1,13,279,0
1474011351851,280,Send 01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,183,1,13,280,0
1474011351851,280,Send 10-05-06,200,OK,10ДО - 05 контроль 8-1,text,true,,183,1,13,279,0
1474011351851,280,Send 10-06-07,200,OK,10ДО - 06 контроль 9-1,text,true,,183,1,13,280,0
1474011351851,283,Send 12-01-01,200,OK,12ДО - 01 посылка 07 формирование 10-1,text,true,,183,1,13,283,0
1474011351851,446,Send 01-11-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,13,446,0
